customer_id,recency,frequency,monetary,last_purchase
1,195,12,32.97,2024-12-18
2,25,4,17.505,2025-06-06
3,24,8,14.645,2025-06-07
4,4,15,25.401333333333334,2025-06-27
5,5,11,22.19272727272727,2025-06-26
6,27,9,25.827777777777776,2025-06-04
7,49,14,19.70285714285714,2025-05-13
8,22,8,22.5125,2025-06-09
9,76,9,31.84777777777778,2025-04-16
10,128,3,21.099999999999998,2025-02-23
11,40,5,24.854,2025-05-22
12,3,14,23.925,2025-06-28
13,77,8,20.337500000000002,2025-04-15
14,11,5,18.622,2025-06-20
15,109,3,53.68000000000001,2025-03-14
16,12,7,21.645714285714288,2025-06-19
17,111,10,28.644,2025-03-12
18,45,8,26.16375,2025-05-17
19,12,9,23.196666666666665,2025-06-19
20,3,11,35.09090909090909,2025-06-28
21,89,8,22.92,2025-04-03
22,113,4,23.595,2025-03-10
23,46,11,61.68363636363636,2025-05-16
24,2,5,29.192,2025-06-29
25,96,6,22.875,2025-03-27
26,35,7,27.275714285714287,2025-05-27
27,153,10,23.576,2025-01-29
28,53,4,19.215,2025-05-09
29,14,7,24.134285714285713,2025-06-17
30,99,5,19.566,2025-03-24
31,41,5,15.2,2025-05-21
32,21,9,28.991111111111113,2025-06-10
33,69,11,21.240909090909092,2025-04-23
34,14,8,34.6875,2025-06-17
35,51,3,23.55666666666667,2025-05-11
36,158,9,27.831111111111113,2025-01-24
37,55,7,24.72,2025-05-07
38,49,4,16.9525,2025-05-13
39,95,7,26.48428571428571,2025-03-28
40,63,5,25.824,2025-04-29
41,22,10,26.188,2025-06-09
42,8,12,30.618333333333336,2025-06-23
43,52,7,29.754285714285714,2025-05-10
44,59,7,22.12714285714286,2025-05-03
45,18,11,26.922727272727276,2025-06-13
46,2,6,18.57,2025-06-29
47,70,9,35.095555555555556,2025-04-22
48,48,8,21.607499999999998,2025-05-14
49,21,10,31.596999999999998,2025-06-10
50,4,10,30.195999999999998,2025-06-27
51,2,9,22.04888888888889,2025-06-29
52,26,10,20.512,2025-06-05
53,199,9,19.32,2024-12-14
54,9,12,23.502499999999998,2025-06-22
55,91,9,21.752222222222223,2025-04-01
56,376,8,23.8925,2024-06-20
57,19,7,32.83428571428571,2025-06-12
58,38,10,26.615,2025-05-24
59,4,9,27.88222222222222,2025-06-27
60,113,7,29.801428571428573,2025-03-10
61,6,6,20.21666666666667,2025-06-25
62,42,8,14.8725,2025-05-20
63,24,5,27.048000000000002,2025-06-07
64,3,11,27.888181818181817,2025-06-28
65,77,9,26.13666666666667,2025-04-15
66,327,5,23.382,2024-08-08
67,14,10,23.485000000000003,2025-06-17
68,16,11,33.43818181818182,2025-06-15
69,128,5,31.174,2025-02-23
70,78,7,27.305714285714284,2025-04-14
71,80,10,23.734,2025-04-12
72,29,8,35.543749999999996,2025-06-02
73,123,8,21.56125,2025-02-28
74,336,5,20.318,2024-07-30
75,4,8,33.019999999999996,2025-06-27
76,30,6,21.743333333333336,2025-06-01
77,23,9,17.183333333333334,2025-06-08
78,197,7,18.545714285714286,2024-12-16
79,32,5,26.651999999999997,2025-05-30
80,70,6,26.695000000000004,2025-04-22
81,19,3,19.883333333333333,2025-06-12
82,18,7,25.112857142857145,2025-06-13
83,163,5,33.676,2025-01-19
84,25,10,29.677000000000003,2025-06-06
85,54,2,35.06,2025-05-08
86,38,12,32.38333333333333,2025-05-24
87,105,10,28.927999999999997,2025-03-18
88,35,10,20.002000000000002,2025-05-27
89,13,7,30.31142857142857,2025-06-18
90,28,6,21.7,2025-06-03
91,36,9,20.823333333333334,2025-05-26
92,22,6,28.56,2025-06-09
93,15,7,25.212857142857143,2025-06-16
94,181,7,30.204285714285714,2025-01-01
95,2,9,23.512222222222224,2025-06-29
96,9,9,21.22888888888889,2025-06-22
97,34,13,29.003846153846155,2025-05-28
98,41,9,39.91,2025-05-21
99,26,11,23.25,2025-06-05
100,55,6,21.865,2025-05-07
101,4,8,25.9575,2025-06-27
102,95,8,25.0025,2025-03-28
103,21,7,33.25857142857143,2025-06-10
104,50,8,20.947499999999998,2025-05-12
105,12,10,29.095,2025-06-19
106,19,13,20.223846153846157,2025-06-12
107,9,11,15.594545454545454,2025-06-22
108,4,8,29.74625,2025-06-27
109,40,5,35.144,2025-05-22
110,17,9,25.614444444444445,2025-06-14
111,104,4,26.542499999999997,2025-03-19
112,6,12,25.391666666666666,2025-06-25
113,35,7,29.020000000000003,2025-05-27
114,108,8,29.596249999999998,2025-03-15
115,7,8,33.175,2025-06-24
116,136,4,15.567499999999999,2025-02-15
117,175,6,21.736666666666665,2025-01-07
118,171,8,23.26125,2025-01-11
119,47,10,20.249,2025-05-15
120,178,6,18.081666666666667,2025-01-04
121,164,2,20.4,2025-01-18
122,69,8,34.449999999999996,2025-04-23
123,12,10,25.179000000000002,2025-06-19
124,84,9,21.464444444444446,2025-04-08
125,3,11,23.389999999999997,2025-06-28
126,45,11,17.294545454545457,2025-05-17
127,10,8,22.4675,2025-06-21
128,22,8,33.01125,2025-06-09
129,9,14,31.652142857142856,2025-06-22
130,48,9,42.27777777777778,2025-05-14
131,23,4,32.754999999999995,2025-06-08
132,68,7,68.5,2025-04-24
133,94,4,31.817500000000003,2025-03-29
134,121,5,22.084000000000003,2025-03-02
135,11,15,22.622,2025-06-20
136,52,6,29.538333333333338,2025-05-10
137,25,6,26.228333333333335,2025-06-06
138,164,9,26.465555555555554,2025-01-18
139,18,9,35.65777777777778,2025-06-13
140,21,8,24.76875,2025-06-10
141,4,12,31.648333333333337,2025-06-27
142,230,5,13.357999999999999,2024-11-13
143,184,8,29.3325,2024-12-29
144,29,13,23.467692307692307,2025-06-02
145,1,9,31.736666666666665,2025-06-30
146,19,8,26.58625,2025-06-12
147,243,9,17.99888888888889,2024-10-31
148,21,10,23.356,2025-06-10
149,66,6,23.185000000000002,2025-04-26
150,353,5,29.095999999999997,2024-07-13
151,3,7,25.962857142857143,2025-06-28
152,18,7,22.22714285714286,2025-06-13
153,3,7,22.53,2025-06-28
154,46,10,30.438,2025-05-16
155,89,7,36.252857142857145,2025-04-03
156,1,8,25.25375,2025-06-30
157,31,6,31.94666666666667,2025-05-31
158,28,10,21.955,2025-06-03
159,53,7,39.81571428571429,2025-05-09
160,24,4,32.2625,2025-06-07
161,1,5,19.622,2025-06-30
162,14,5,44.236000000000004,2025-06-17
163,263,5,43.92,2024-10-11
164,9,6,30.36,2025-06-22
165,52,10,37.247,2025-05-10
166,6,8,27.42,2025-06-25
167,67,9,20.031111111111112,2025-04-25
168,33,8,40.756249999999994,2025-05-29
169,43,4,36.54,2025-05-19
170,63,11,32.49,2025-04-29
171,77,11,19.464545454545455,2025-04-15
172,262,7,27.67142857142857,2024-10-12
173,130,3,14.68,2025-02-21
174,53,6,26.146666666666665,2025-05-09
175,131,3,17.43,2025-02-20
176,16,12,22.361666666666668,2025-06-15
177,64,6,16.39166666666667,2025-04-28
178,51,9,23.34111111111111,2025-05-11
179,8,9,23.514444444444443,2025-06-23
180,82,5,22.802,2025-04-10
181,2,5,33.274,2025-06-29
182,65,5,26.151999999999997,2025-04-27
183,15,12,37.73833333333334,2025-06-16
184,21,9,18.75,2025-06-10
185,7,7,27.02857142857143,2025-06-24
186,69,6,22.255,2025-04-23
187,5,7,25.834285714285716,2025-06-26
188,11,8,19.24125,2025-06-20
189,44,9,28.018888888888892,2025-05-18
190,9,13,27.571538461538463,2025-06-22
191,63,10,23.333999999999996,2025-04-29
192,84,8,30.49625,2025-04-08
193,89,7,20.305714285714284,2025-04-03
194,19,10,33.427,2025-06-12
195,6,7,33.151428571428575,2025-06-25
196,3,11,25.652727272727272,2025-06-28
197,70,9,24.308888888888887,2025-04-22
198,36,7,32.279999999999994,2025-05-26
199,8,14,30.187142857142856,2025-06-23
200,9,4,13.682500000000001,2025-06-22
201,20,7,30.82428571428571,2025-06-11
202,41,9,35.47555555555555,2025-05-21
203,47,11,31.29818181818182,2025-05-15
204,4,12,22.6775,2025-06-27
205,203,2,25.735,2024-12-10
206,129,4,45.43,2025-02-22
207,2,16,27.025624999999998,2025-06-29
208,3,2,24.655,2025-06-28
209,80,4,38.01,2025-04-12
210,6,12,25.534166666666664,2025-06-25
211,2,3,14.49,2025-06-29
212,45,6,36.434999999999995,2025-05-17
213,27,10,30.845,2025-06-04
214,5,11,25.151818181818182,2025-06-26
215,35,14,24.90285714285714,2025-05-27
216,39,13,23.113846153846154,2025-05-23
217,55,10,29.770999999999997,2025-05-07
218,75,10,22.127000000000002,2025-04-17
219,76,8,27.33875,2025-04-16
220,4,6,20.73,2025-06-27
221,149,13,23.35,2025-02-02
222,34,4,36.11,2025-05-28
223,7,9,36.00111111111111,2025-06-24
224,14,6,23.560000000000002,2025-06-17
225,36,8,32.94375,2025-05-26
226,15,10,16.017,2025-06-16
227,12,8,23.3675,2025-06-19
228,3,10,30.753999999999998,2025-06-28
229,47,6,29.105,2025-05-15
230,87,12,21.963333333333335,2025-04-05
231,54,7,30.334285714285716,2025-05-08
232,6,7,21.392857142857142,2025-06-25
233,3,5,28.669999999999998,2025-06-28
234,1,2,28.15,2025-06-30
235,58,8,30.9575,2025-05-04
236,33,6,22.798333333333332,2025-05-29
237,93,7,27.2,2025-03-30
238,2,6,27.314999999999998,2025-06-29
239,2,11,27.689090909090908,2025-06-29
240,65,6,16.09,2025-04-27
241,11,9,36.39111111111111,2025-06-20
242,134,10,27.331,2025-02-17
243,16,9,31.35111111111111,2025-06-15
244,4,10,28.206,2025-06-27
245,17,4,34.465,2025-06-14
246,187,5,30.415999999999997,2024-12-26
247,50,7,25.67285714285714,2025-05-12
248,34,8,33.02125,2025-05-28
249,19,8,29.11375,2025-06-12
250,254,9,20.43777777777778,2024-10-20
251,172,8,26.369999999999997,2025-01-10
252,208,3,21.813333333333333,2024-12-05
253,137,5,16.208000000000002,2025-02-14
254,26,5,34.519999999999996,2025-06-05
255,28,9,25.24888888888889,2025-06-03
256,16,6,27.436666666666667,2025-06-15
257,72,8,23.73375,2025-04-20
258,588,2,19.6,2023-11-21
259,386,6,20.006666666666664,2024-06-10
260,23,12,23.05666666666667,2025-06-08
261,18,9,21.586666666666666,2025-06-13
262,73,17,22.86235294117647,2025-04-19
263,47,8,25.02,2025-05-15
264,3,4,33.4475,2025-06-28
265,1,7,23.442857142857143,2025-06-30
266,27,8,22.72125,2025-06-04
267,12,9,34.80555555555556,2025-06-19
268,108,9,19.688888888888886,2025-03-15
269,37,14,31.68642857142857,2025-05-25
270,2,7,26.29714285714286,2025-06-29
271,34,10,33.563,2025-05-28
272,2,6,17.128333333333334,2025-06-29
273,1,9,28.10222222222222,2025-06-30
274,1,5,44.58,2025-06-30
275,23,8,22.08875,2025-06-08
276,26,11,36.13909090909091,2025-06-05
277,64,8,19.33625,2025-04-28
278,40,5,18.232000000000003,2025-05-22
279,28,11,33.64090909090909,2025-06-03
280,41,7,29.745714285714286,2025-05-21
281,37,8,22.70375,2025-05-25
282,91,11,33.46818181818182,2025-04-01
